分类: 📺央视频道, 名称: CCTV4-国际, 有效: 2, IPv4: 34, IPv6: 0, 最小延迟: 29 ms, 最高速率: 8.77 M/s, 平均速率: 7.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV5-体育, 有效: 2, IPv4: 35, IPv6: 0, 最小延迟: 96 ms, 最高速率: 19.31 M/s, 平均速率: 16.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV5+-体育赛事, 有效: 2, IPv4: 18, IPv6: 0, 最小延迟: 188 ms, 最高速率: 17.74 M/s, 平均速率: 15.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV7-军农, 有效: 2, IPv4: 33, IPv6: 0, 最小延迟: 96 ms, 最高速率: 13.57 M/s, 平均速率: 11.91 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV2-财经, 有效: 1, IPv4: 35, IPv6: 0, 最小延迟: 1049 ms, 最高速率: 1.13 M/s, 平均速率: 1.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV8-电视剧, 有效: 1, IPv4: 36, IPv6: 0, 最小延迟: 94 ms, 最高速率: 20.46 M/s, 平均速率: 20.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV1-综合, 有效: 2, IPv4: 32, IPv6: 0, 最小延迟: 127 ms, 最高速率: 12.24 M/s, 平均速率: 6.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV6-电影, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 1321 ms, 最高速率: 1.18 M/s, 平均速率: 1.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV12-社会与法, 有效: 2, IPv4: 34, IPv6: 0, 最小延迟: 29 ms, 最高速率: 15.83 M/s, 平均速率: 8.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV9-纪录, 有效: 1, IPv4: 29, IPv6: 0, 最小延迟: 212 ms, 最高速率: 15.60 M/s, 平均速率: 15.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV10-科教, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 191 ms, 最高速率: 17.09 M/s, 平均速率: 17.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV3-综艺, 有效: 1, IPv4: 33, IPv6: 0, 最小延迟: 165 ms, 最高速率: 13.46 M/s, 平均速率: 13.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV16-体育, 有效: 2, IPv4: 22, IPv6: 0, 最小延迟: 96 ms, 最高速率: 16.07 M/s, 平均速率: 14.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV11-戏曲, 有效: 1, IPv4: 29, IPv6: 0, 最小延迟: 126 ms, 最高速率: 11.74 M/s, 平均速率: 11.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV13-新闻, 有效: 1, IPv4: 28, IPv6: 0, 最小延迟: 1393 ms, 最高速率: 3.05 M/s, 平均速率: 3.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV14-少儿, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 153 ms, 最高速率: 11.39 M/s, 平均速率: 11.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV15-音乐, 有效: 1, IPv4: 29, IPv6: 0, 最小延迟: 229 ms, 最高速率: 14.28 M/s, 平均速率: 14.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV17-农业农村, 有效: 1, IPv4: 25, IPv6: 0, 最小延迟: 195 ms, 最高速率: 16.82 M/s, 平均速率: 16.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV8K, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV4K, 有效: 1, IPv4: 9, IPv6: 0, 最小延迟: 280 ms, 最高速率: 19.16 M/s, 平均速率: 19.16 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山西卫视, 有效: 2, IPv4: 19, IPv6: 0, 最小延迟: 63 ms, 最高速率: 15.12 M/s, 平均速率: 12.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 2, IPv4: 26, IPv6: 0, 最小延迟: 96 ms, 最高速率: 7.92 M/s, 平均速率: 7.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 1, IPv4: 25, IPv6: 0, 最小延迟: 193 ms, 最高速率: 15.70 M/s, 平均速率: 15.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV4K-欧洲, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 472 ms, 最高速率: 0.67 M/s, 平均速率: 0.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 2, IPv4: 28, IPv6: 0, 最小延迟: 189 ms, 最高速率: 17.26 M/s, 平均速率: 9.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV4k-美洲, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 474 ms, 最高速率: 0.39 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
