# IPTV 直播源汇总
# 更新时间: 2026-02-26 09:03:57（北京时间）
# 有效源总数: 1659

更新时间,#genre#
2026-02-26 09:03:57,http://logo.mp4

央视频道,#genre#
CCTV1,http://144.0.57.58:7004/rtp/239.21.1.120:5002$山东电信(258ms)
CCTV1,http://171.113.174.156:8686/rtp/239.254.96.96:8550$湖北电信(248ms)
CCTV1,http://27.17.212.242:8888/rtp/239.254.96.96:8550$湖北电信(253ms)
CCTV1,http://123.112.240.132:5555/rtp/239.3.1.129:8008$北京市联通(242ms)
CCTV2,http://144.0.57.58:7004/rtp/239.21.1.151:5002$山东电信(258ms)
CCTV2,http://171.113.174.156:8686/rtp/239.69.1.102:10250$湖北电信(248ms)
CCTV2,http://27.17.212.242:8888/rtp/239.69.1.102:10250$湖北电信(253ms)
CCTV2,http://123.112.240.132:5555/rtp/239.3.1.60:8084$北京市联通(242ms)
CCTV3,http://144.0.57.58:7004/rtp/239.21.2.45:5002$山东电信(258ms)
CCTV3,http://171.113.174.156:8686/rtp/239.69.1.122:10370$湖北电信(248ms)
CCTV3,http://27.17.212.242:8888/rtp/239.69.1.122:10370$湖北电信(253ms)
CCTV3,http://123.112.240.132:5555/rtp/239.3.1.172:8001$北京市联通(242ms)
CCTV4,http://144.0.57.58:7004/rtp/239.21.1.154:5002$山东电信(258ms)
CCTV4,http://171.113.174.156:8686/rtp/239.69.1.138:10466$湖北电信(248ms)
CCTV4,http://27.17.212.242:8888/rtp/239.69.1.138:10466$湖北电信(253ms)
CCTV4,http://123.112.240.132:5555/rtp/239.3.1.105:8092$北京市联通(242ms)
CCTV4欧洲,http://144.0.57.58:7004/rtp/239.21.2.28:5002$山东电信(258ms)
CCTV4欧洲,http://171.113.174.156:8686/rtp/239.69.1.231:11028$湖北电信(248ms)
CCTV4欧洲,http://27.17.212.242:8888/rtp/239.69.1.231:11028$湖北电信(253ms)
CCTV4欧洲,http://123.112.240.132:5555/rtp/239.3.1.213:4220$北京市联通(242ms)
CCTV4美洲,http://171.113.174.156:8686/rtp/239.69.1.232:11034$湖北电信(248ms)
CCTV4美洲,http://27.17.212.242:8888/rtp/239.69.1.232:11034$湖北电信(253ms)
CCTV4美洲,http://123.112.240.132:5555/rtp/239.3.1.214:4220$北京市联通(242ms)
CCTV4美洲,http://114.254.76.186:4022/rtp/239.3.1.214:4220$北京市联通(240ms)
CCTV5,http://144.0.57.58:7004/rtp/239.21.2.46:5002$山东电信(258ms)
CCTV5,http://171.113.174.156:8686/rtp/239.69.1.123:10376$湖北电信(248ms)
CCTV5,http://27.17.212.242:8888/rtp/239.69.1.123:10376$湖北电信(253ms)
CCTV5,http://123.112.240.132:5555/rtp/239.3.1.173:8001$北京市联通(242ms)
CCTV5+,http://144.0.57.58:7004/rtp/239.21.1.142:5002$山东电信(258ms)
CCTV5+,http://171.113.174.156:8686/rtp/239.254.96.234:9484$湖北电信(248ms)
CCTV5+,http://27.17.212.242:8888/rtp/239.254.96.234:9484$湖北电信(253ms)
CCTV5+,http://123.112.240.132:5555/rtp/239.3.1.130:8004$北京市联通(242ms)
CCTV6,http://144.0.57.58:7004/rtp/239.21.2.47:5002$山东电信(258ms)
CCTV6,http://171.113.174.156:8686/rtp/239.69.1.124:10382$湖北电信(248ms)
CCTV6,http://27.17.212.242:8888/rtp/239.69.1.124:10382$湖北电信(253ms)
CCTV6,http://123.112.240.132:5555/rtp/239.3.1.174:8001$北京市联通(242ms)
CCTV7,http://144.0.57.58:7004/rtp/239.21.1.152:5002$山东电信(258ms)
CCTV7,http://171.113.174.156:8686/rtp/239.69.1.103:10256$湖北电信(248ms)
CCTV7,http://27.17.212.242:8888/rtp/239.69.1.103:10256$湖北电信(253ms)
CCTV7,http://123.112.240.132:5555/rtp/239.3.1.61:8104$北京市联通(242ms)
CCTV8,http://144.0.57.58:7004/rtp/239.21.2.48:5002$山东电信(258ms)
CCTV8,http://171.113.174.156:8686/rtp/239.69.1.125:10388$湖北电信(248ms)
CCTV8,http://27.17.212.242:8888/rtp/239.69.1.125:10388$湖北电信(253ms)
CCTV8,http://123.112.240.132:5555/rtp/239.3.1.175:8001$北京市联通(242ms)
CCTV9,http://144.0.57.58:7004/rtp/239.21.1.153:5002$山东电信(258ms)
CCTV9,http://171.113.174.156:8686/rtp/239.69.1.104:10262$湖北电信(248ms)
CCTV9,http://27.17.212.242:8888/rtp/239.69.1.104:10262$湖北电信(253ms)
CCTV9,http://123.112.240.132:5555/rtp/239.3.1.62:8112$北京市联通(242ms)
CCTV10,http://144.0.57.58:7004/rtp/239.21.1.155:5002$山东电信(258ms)
CCTV10,http://171.113.174.156:8686/rtp/239.69.1.105:10268$湖北电信(248ms)
CCTV10,http://27.17.212.242:8888/rtp/239.69.1.105:10268$湖北电信(253ms)
CCTV10,http://123.112.240.132:5555/rtp/239.3.1.63:8116$北京市联通(242ms)
CCTV11,http://144.0.57.58:7004/rtp/239.21.2.2:5002$山东电信(258ms)
CCTV11,http://171.113.174.156:8686/rtp/239.69.1.154:10560$湖北电信(248ms)
CCTV11,http://27.17.212.242:8888/rtp/239.69.1.154:10560$湖北电信(253ms)
CCTV11,http://123.112.240.132:5555/rtp/239.3.1.152:8120$北京市联通(242ms)
CCTV12,http://144.0.57.58:7004/rtp/239.21.1.156:5002$山东电信(258ms)
CCTV12,http://171.113.174.156:8686/rtp/239.69.1.106:10274$湖北电信(248ms)
CCTV12,http://27.17.212.242:8888/rtp/239.69.1.106:10274$湖北电信(253ms)
CCTV12,http://123.112.240.132:5555/rtp/239.3.1.64:8124$北京市联通(242ms)
CCTV13,http://144.0.57.58:7004/rtp/239.21.2.3:5002$山东电信(258ms)
CCTV13,http://171.113.174.156:8686/rtp/239.254.96.161:9040$湖北电信(248ms)
CCTV13,http://27.17.212.242:8888/rtp/239.254.96.161:9040$湖北电信(253ms)
CCTV13,http://123.112.240.132:5555/rtp/239.3.1.124:8128$北京市联通(242ms)
CCTV14,http://144.0.57.58:7004/rtp/239.21.1.157:5002$山东电信(258ms)
CCTV14,http://171.113.174.156:8686/rtp/239.69.1.107:10280$湖北电信(248ms)
CCTV14,http://27.17.212.242:8888/rtp/239.69.1.107:10280$湖北电信(253ms)
CCTV14,http://123.112.240.132:5555/rtp/239.3.1.65:8132$北京市联通(242ms)
CCTV15,http://144.0.57.58:7004/rtp/239.21.2.4:5002$山东电信(258ms)
CCTV15,http://171.113.174.156:8686/rtp/239.69.1.155:10566$湖北电信(248ms)
CCTV15,http://27.17.212.242:8888/rtp/239.69.1.155:10566$湖北电信(253ms)
CCTV15,http://123.112.240.132:5555/rtp/239.3.1.153:8136$北京市联通(242ms)
